"门店名称","门店编号","开业时间","销售总额"
上海徐泾店,"80010018",2017-01-01 00:00:00.000,565785.18
上海新桥店,"80010117",2017-01-01 00:00:00.000,546574.65
上海洞泾店,"80010119",2017-01-01 00:00:00.000,386496.2
南京学衡路店,"80012225",2017-01-01 00:00:00.000,377004.03
上海城西店,"80010031",2017-01-01 00:00:00.000,371203.32
上海青湖店,"80010272",2017-01-01 00:00:00.000,360045.2
徐州彭城苏宁店,"80081142",2023-12-03 00:00:00.000,357367.94
上海沪亭店,"80010155",2017-01-01 00:00:00.000,357153.34
南通张芝山店,"80044026",2017-01-01 00:00:00.000,346338.41
上海马桥店,"80010130",2017-01-01 00:00:00.000,343271.6
南京永乐路店,"80012101",2017-01-01 00:00:00.000,338965.46
苏州春晖店,"80024021",2017-01-01 00:00:00.000,333445.05
南京瑞金路店,"80012123",2017-01-01 00:00:00.000,329459.19
武汉三弓路店,"80018003",2017-01-01 00:00:00.000,327259.82
上海华新店,"80010463",2017-01-01 00:00:00.000,318970.08
无锡硕放店,"80048009",2018-01-11 00:00:00.000,318481.92
南京岔路口店,"80012112",2017-01-01 00:00:00.000,316512.84
合肥万国店,"80020071",2017-01-01 00:00:00.000,311520.08
苏州何山店,"80024066",2017-01-01 00:00:00.000,309471.03
上海仓丰店,"80010322",2017-01-01 00:00:00.000,308796.23
南京西柿路店,"80012268",2017-01-01 00:00:00.000,308634.61
武汉沌口店,"80018113",2017-01-01 00:00:00.000,308245.96
南通三星店,"80044047",2017-01-01 00:00:00.000,307501.72
苏州白塘店,"80024080",2017-01-01 00:00:00.000,305931.62
合肥淠河店,"80020004",2017-01-01 00:00:00.000,305313
南通姜灶店,"80044023",2017-01-01 00:00:00.000,304370.46
南京金地城店,"80012171",2017-01-01 00:00:00.000,302392.66
苏州高浜新店,"80024243",2021-09-17 00:00:00.000,301833.33
南通新桥店,"80044013",2017-01-01 00:00:00.000,301823.56
乐山嘉兴路店,"80079301",2024-03-29 00:00:00.000,297457.77
武汉中港路店,"80018023",2017-01-01 00:00:00.000,296462.63
苏州翰林店,"80024042",2017-01-01 00:00:00.000,292321.33
上海浦仓店,"80010026",2017-01-01 00:00:00.000,290021.79
南京中圣街店,"80012237",2017-01-01 00:00:00.000,289102.09
合肥翠庭园店,"80020084",2017-01-01 00:00:00.000,289087.16
南京和燕路新店,"80012215",2017-01-01 00:00:00.000,288311.12
上海南翔印象城店,"80081162",2024-01-29 00:00:00.000,287755.63
上海朱家角店,"80010296",2017-01-01 00:00:00.000,287089.8
上海西渡店,"80010083",2017-01-01 00:00:00.000,286616.97
上海七宝店,"80010169",2017-01-01 00:00:00.000,285031.12
武汉水果湖店,"80018014",2017-01-01 00:00:00.000,284479.63
武汉百步亭店,"80018508",2019-09-10 00:00:00.000,283891.39
南京杨村路店,"80012196",2017-01-01 00:00:00.000,282539.1
苏州双湾店,"80024137",2017-05-05 00:00:00.000,280785.68
合肥海恒店,"80020060",2017-01-01 00:00:00.000,280591.85
南京王家田新店,"80012420",2021-04-17 00:00:00.000,277509.35
